# Simulation 1 (Up to date)
# 795 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27.8 m/s):  "Iris Ultra Parachute [Cd 2.2 (10.9 oz) 60.0 in^3]"
#
# Time (s),Altitude (m),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.871e-5,0.029
0.03,8.588e-4,0.139
0.04,0.003,0.332
0.05,0.008,0.607
0.06,0.015,0.933
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.026,1.275
0.08,0.041,1.634
0.09,0.059,2.009
0.1,0.081,2.401
0.11,0.107,2.803
0.12,0.137,3.209
0.13,0.171,3.619
0.14,0.21,4.033
0.15,0.252,4.45
0.16,0.299,4.871
0.17,0.35,5.292
0.18,0.405,5.714
0.19,0.464,6.137
0.2,0.527,6.561
0.21,0.595,6.986
0.22,0.667,7.411
0.23,0.743,7.836
0.24,0.824,8.261
0.25,0.908,8.686
0.26,0.997,9.111
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,1.091,9.537
0.285,1.239,10.174
0.3,1.396,10.811
0.322,1.65,11.766
0.35,1.99,12.932
0.391,2.559,14.678
0.4,2.689,15.048
0.413,2.89,15.603
0.433,3.206,16.434
0.45,3.494,17.16
0.476,3.951,18.247
0.5,4.405,19.268
0.536,5.133,20.798
0.55,5.421,21.373
0.571,5.868,22.236
0.6,6.542,23.476
0.644,7.622,25.335
0.65,7.769,25.577
0.659,7.991,25.94
0.672,8.331,26.484
0.691,8.854,27.3
0.7,9.1,27.675
0.713,9.475,28.238
0.734,10.052,29.081
0.75,10.536,29.77
0.775,11.283,30.803
0.8,12.077,31.863
0.838,13.318,33.452
0.85,13.722,33.954
0.868,14.34,34.707
0.895,15.293,35.835
0.9,15.472,36.043
0.907,15.743,36.356
0.919,16.154,36.824
0.936,16.779,37.526
0.95,17.327,38.129
0.972,18.164,39.034
1,19.285,40.213
1.042,21.03,41.979
1.05,21.348,42.293
1.061,21.829,42.763
1.078,22.561,43.469
1.1,23.514,44.37
1.133,24.981,45.721
1.15,25.785,46.443
1.176,27.013,47.526
1.2,28.159,48.513
1.236,29.921,49.992
1.25,30.636,50.579
1.271,31.725,51.46
1.3,33.217,52.643
1.343,35.518,54.413
1.35,35.9,54.702
1.361,36.477,55.134
1.376,37.352,55.782
1.4,38.687,56.756
1.436,40.732,58.216
1.45,41.576,58.806
1.472,42.857,59.691
1.5,44.567,60.851
1.543,47.195,62.589
1.55,47.661,62.892
1.561,48.364,63.346
1.578,49.429,64.027
1.6,50.856,64.928
1.633,53.035,66.277
1.65,54.153,66.959
1.675,55.853,67.981
1.7,57.552,68.986
1.737,60.147,70.492
1.75,61.052,71.009
1.769,62.422,71.784
1.8,64.653,73.027
1.846,68.071,74.89
1.85,68.355,75.043
1.856,68.781,75.271
1.864,69.423,75.614
1.877,70.391,76.127
1.896,71.856,76.898
1.9,72.157,77.055
1.906,72.611,77.292
1.915,73.293,77.646
1.928,74.324,78.178
1.95,76.06,79.066
1.983,78.702,80.396
2,80.064,81.072
2.025,82.128,82.087
2.05,84.167,83.076
2.087,87.272,84.559
2.1,88.371,85.077
2.119,90.032,85.853
2.15,92.675,87.073
2.196,96.709,88.9
2.2,97.078,89.066
2.206,97.634,89.313
2.216,98.469,89.685
2.23,99.729,90.242
2.25,101.581,91.054
2.281,104.392,92.27
2.3,106.184,93.037
2.329,108.9,94.185
2.35,110.885,95.015
2.381,113.896,96.257
2.4,115.685,96.987
2.428,118.395,98.081
2.45,120.584,98.954
2.483,123.903,100.261
2.5,125.58,100.914
2.525,128.116,101.893
2.55,130.675,102.868
2.587,134.559,104.329
2.6,135.867,104.816
2.619,137.841,105.545
2.647,140.828,106.638
2.65,141.157,106.757
2.655,141.65,106.936
2.662,142.393,107.205
2.672,143.509,107.607
2.688,145.193,108.21
2.7,146.543,108.691
2.719,148.579,109.412
2.747,151.659,110.491
2.75,152.026,110.619
2.755,152.576,110.811
2.762,153.404,111.097
2.774,154.649,111.528
2.79,156.527,112.172
2.8,157.605,112.54
2.814,159.228,113.092
2.836,161.677,113.919
2.85,163.279,114.456
2.871,165.697,115.261
2.9,169.05,116.367
2.943,174.14,118.023
2.95,174.916,118.273
2.96,176.083,118.649
2.975,177.841,119.211
2.997,180.493,120.054
3,180.877,120.176
3.005,181.454,120.358
3.012,182.321,120.631
3.023,183.624,121.04
3.039,185.588,121.654
3.05,186.934,122.072
3.067,188.96,122.699
3.091,192.02,123.638
3.1,193.084,123.963
3.113,194.687,124.45
3.132,197.103,125.179
3.15,199.33,125.847
3.177,202.692,126.847
3.2,205.669,127.725
3.235,210.172,129.038
3.25,212.102,129.595
3.272,215.012,130.43
3.3,218.628,131.458
3.341,224.106,132.995
3.35,225.248,133.313
3.363,226.966,133.788
3.382,229.554,134.501
3.4,231.96,135.158
3.427,235.589,136.142
3.45,238.763,136.995
3.485,243.562,138.272
3.5,245.659,138.825
3.523,248.82,139.654
3.55,252.646,140.649
3.591,258.435,142.138
3.6,259.724,142.467
3.614,261.663,142.96
3.634,264.583,143.698
3.65,266.892,144.279
3.674,270.373,145.149
3.7,274.152,146.086
3.739,279.864,147.488
3.75,281.501,147.887
3.767,283.964,148.484
3.792,287.677,149.378
3.8,288.94,149.68
3.813,290.839,150.133
3.832,293.699,150.812
3.85,296.469,151.465
3.877,300.646,152.443
3.9,304.087,153.241
3.934,309.28,154.435
3.95,311.793,155.008
3.974,315.579,155.865
4,319.587,156.765
4.038,325.643,158.109
4.05,327.469,158.512
4.067,330.218,159.115
4.093,334.36,160.017
4.1,335.438,160.251
4.11,337.059,160.601
4.125,339.496,161.126
4.15,343.494,161.982
4.187,349.53,163.263
4.2,351.636,163.707
4.219,354.806,164.372
4.25,359.865,165.426
4.296,367.513,167.003
4.3,368.179,167.139
4.306,369.178,167.343
4.315,370.68,167.649
4.328,372.938,168.108
4.35,376.578,168.844
4.382,382.069,169.945
4.4,385.063,170.541
4.426,389.574,171.432
4.45,393.632,172.227
4.485,399.755,173.416
4.5,402.286,173.903
4.522,406.095,174.632
4.55,411.022,175.568
4.592,418.463,176.966
4.6,419.842,177.223
4.612,421.915,177.609
4.629,425.032,178.186
4.65,428.745,178.871
4.681,434.335,179.381
# Event BURNOUT occurred at t=4.7 seconds
4.7,437.707,179.191
4.728,442.755,178.626
4.771,450.296,177.785
4.821,459.161,176.798
4.871,467.976,175.816
4.921,476.742,174.839
4.971,485.46,173.866
5.021,494.129,172.899
5.071,502.75,171.937
5.121,511.323,170.982
5.171,519.848,170.034
5.221,528.326,169.092
5.271,536.757,168.156
5.321,545.142,167.225
5.371,553.48,166.301
5.421,561.772,165.381
5.471,570.018,164.466
5.521,578.219,163.555
5.571,586.374,162.65
5.621,594.484,161.749
5.671,602.549,160.854
5.721,610.569,159.965
5.771,618.545,159.081
5.821,626.478,158.202
5.871,634.366,157.328
5.921,642.21,156.458
5.971,650.012,155.593
6.021,657.77,154.731
6.071,665.485,153.874
6.121,673.157,153.021
6.171,680.787,152.171
6.221,688.374,151.327
6.271,695.92,150.487
6.321,703.423,149.654
6.371,710.885,148.825
6.421,718.306,148
6.471,725.685,147.18
6.521,733.024,146.363
6.571,740.322,145.549
6.621,747.579,144.738
6.671,754.795,143.93
6.721,761.972,143.125
6.771,769.108,142.326
6.821,776.204,141.53
6.871,783.261,140.738
6.921,790.278,139.95
6.971,797.256,139.167
7.021,804.195,138.387
7.071,811.095,137.612
7.121,817.956,136.841
7.171,824.779,136.072
7.221,831.564,135.305
7.271,838.31,134.542
