# Simulation Imperial (Up to date)
# 796 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (91.2 ft/s):  "Iris Ultra Parachute [Cd 2.2 (10.9 oz) 60.0 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (ft/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,2.91e-4,0.095
0.03,0.003,0.455
0.04,0.01,1.088
0.05,0.025,1.993
0.06,0.051,3.061
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.087,4.184
0.08,0.135,5.361
0.09,0.194,6.592
0.1,0.267,7.877
0.11,0.352,9.196
0.12,0.451,10.528
0.13,0.563,11.873
0.14,0.688,13.231
0.15,0.827,14.601
0.16,0.98,15.98
0.17,1.147,17.361
0.18,1.327,18.747
0.19,1.522,20.135
0.2,1.73,21.527
0.21,1.952,22.92
0.22,2.188,24.314
0.23,2.439,25.708
0.24,2.703,27.103
0.25,2.981,28.498
0.26,3.273,29.894
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,3.579,31.288
0.285,4.064,33.38
0.3,4.58,35.471
0.322,5.413,38.604
0.35,6.527,42.429
0.391,8.396,48.157
0.4,8.823,49.371
0.413,9.482,51.191
0.433,10.517,53.919
0.45,11.464,56.299
0.476,12.962,59.866
0.5,14.452,63.215
0.536,16.84,68.235
0.55,17.786,70.123
0.571,19.253,72.955
0.6,21.464,77.024
0.644,25.007,83.122
0.65,25.488,83.916
0.659,26.218,85.106
0.672,27.333,86.891
0.691,29.049,89.568
0.7,29.856,90.799
0.713,31.087,92.645
0.734,32.98,95.413
0.75,34.568,97.673
0.775,37.019,101.062
0.8,39.623,104.539
0.838,43.694,109.753
0.85,45.022,111.4
0.868,47.05,113.869
0.895,50.175,117.571
0.9,50.763,118.255
0.907,51.651,119.279
0.919,52.999,120.816
0.936,55.052,123.12
0.95,56.847,125.1
0.972,59.593,128.067
1,63.273,131.935
1.042,68.997,137.731
1.05,70.04,138.76
1.061,71.619,140.303
1.078,74.02,142.617
1.1,77.149,145.575
1.133,81.962,150.007
1.15,84.597,152.378
1.176,88.629,155.931
1.2,92.386,159.169
1.236,98.167,164.022
1.25,100.514,165.95
1.271,104.086,168.842
1.3,108.981,172.722
1.343,116.532,178.534
1.35,117.786,179.48
1.361,119.68,180.899
1.376,122.549,183.026
1.4,126.929,186.223
1.436,133.641,191.013
1.45,136.408,192.951
1.472,140.611,195.856
1.5,146.224,199.664
1.543,154.845,205.367
1.55,156.374,206.361
1.561,158.683,207.852
1.578,162.176,210.087
1.6,166.86,213.043
1.633,174.007,217.471
1.65,177.678,219.708
1.675,183.256,223.062
1.7,188.83,226.36
1.737,197.345,231.3
1.75,200.314,232.997
1.769,204.809,235.541
1.8,212.13,239.623
1.846,223.346,245.738
1.85,224.276,246.238
1.856,225.675,246.987
1.864,227.781,248.111
1.877,230.958,249.797
1.896,235.764,252.326
1.9,236.753,252.843
1.906,238.241,253.619
1.915,240.482,254.782
1.928,243.862,256.527
1.95,249.56,259.439
1.983,258.228,263.803
2,262.697,266.023
2.025,269.47,269.351
2.05,276.162,272.596
2.087,286.351,277.458
2.1,289.956,279.157
2.119,295.406,281.703
2.15,304.078,285.705
2.196,317.315,291.697
2.2,318.527,292.239
2.206,320.348,293.051
2.216,323.089,294.269
2.23,327.223,296.095
2.25,333.302,298.758
2.281,342.522,302.748
2.3,348.402,305.262
2.329,357.314,309.029
2.35,363.827,311.75
2.381,373.705,315.826
2.4,379.577,318.221
2.428,388.467,321.809
2.45,395.649,324.673
2.483,406.542,328.964
2.5,412.044,331.107
2.525,420.364,334.317
2.55,428.76,337.519
2.587,441.503,342.313
2.6,445.795,343.911
2.619,452.272,346.304
2.647,462.072,349.888
2.65,463.15,350.28
2.655,464.771,350.868
2.662,467.206,351.749
2.672,470.871,353.07
2.688,476.393,355.049
2.7,480.823,356.627
2.719,487.505,358.991
2.747,497.61,362.532
2.75,498.813,362.951
2.755,500.619,363.578
2.762,503.335,364.519
2.774,507.422,365.93
2.79,513.582,368.044
2.8,517.118,369.251
2.814,522.443,371.06
2.836,530.481,373.77
2.85,535.737,375.53
2.871,543.668,378.168
2.9,554.67,381.793
2.943,571.37,387.222
2.95,573.916,388.042
2.96,577.746,389.272
2.975,583.513,391.116
2.997,592.215,393.88
3,593.475,394.278
3.005,595.367,394.876
3.012,598.21,395.771
3.023,602.487,397.114
3.039,608.93,399.127
3.05,613.344,400.499
3.067,619.993,402.555
3.091,630.03,405.636
3.1,633.524,406.702
3.113,638.782,408.3
3.132,646.707,410.694
3.15,654.014,412.887
3.177,665.047,416.17
3.2,674.812,419.05
3.235,689.587,423.36
3.25,695.919,425.19
3.272,705.467,427.93
3.3,717.331,431.304
3.341,735.302,436.349
3.35,739.048,437.391
3.363,744.685,438.953
3.382,753.178,441.293
3.4,761.07,443.452
3.427,772.979,446.683
3.45,783.393,449.483
3.485,799.137,453.673
3.5,806.018,455.488
3.523,816.39,458.206
3.55,828.942,461.468
3.591,847.935,466.348
3.6,852.164,467.426
3.614,858.525,469.041
3.634,868.108,471.462
3.65,875.684,473.365
3.674,887.104,476.216
3.7,899.5,479.287
3.739,918.243,483.883
3.75,923.612,485.19
3.767,931.693,487.147
3.792,943.875,490.08
3.8,948.019,491.071
3.813,954.249,492.558
3.832,963.631,494.785
3.85,972.719,496.93
3.877,986.425,500.14
3.9,997.711,502.762
3.934,1014.751,506.685
3.95,1022.995,508.566
3.974,1035.417,511.382
4,1048.567,514.337
4.038,1068.435,518.753
4.05,1074.428,520.075
4.067,1083.445,522.054
4.093,1097.036,525.015
4.1,1100.574,525.782
4.11,1105.892,526.931
4.125,1113.889,528.653
4.15,1127.005,531.46
4.187,1146.81,535.66
4.2,1153.72,537.114
4.219,1164.12,539.293
4.25,1180.717,542.746
4.296,1205.81,547.911
4.3,1207.994,548.358
4.306,1211.274,549.027
4.315,1216.201,550.031
4.328,1223.608,551.535
4.35,1235.552,553.949
4.382,1253.565,557.56
4.4,1263.389,559.515
4.426,1278.188,562.441
4.45,1291.503,565.053
4.485,1311.591,568.958
4.5,1319.893,570.56
4.522,1332.391,572.956
4.55,1348.558,576.033
4.592,1372.971,580.627
4.6,1377.496,581.472
4.612,1384.296,582.738
4.629,1394.525,584.634
4.65,1406.705,586.879
4.681,1425.046,588.55
# Event BURNOUT occurred at t=4.7 seconds
4.7,1436.111,587.924
4.728,1452.672,586.068
4.771,1477.415,583.3
4.821,1506.499,580.052
4.871,1535.421,576.829
4.921,1564.182,573.628
4.971,1592.784,570.446
5.021,1621.227,567.281
5.071,1649.512,564.132
5.121,1677.64,560.999
5.171,1705.612,557.883
5.221,1733.429,554.784
5.271,1761.091,551.705
5.321,1788.6,548.648
5.371,1815.956,545.612
5.421,1843.162,542.596
5.471,1870.216,539.599
5.521,1897.122,536.619
5.571,1923.879,533.655
5.621,1950.487,530.704
5.671,1976.949,527.765
5.721,2003.264,524.841
5.771,2029.434,521.933
5.821,2055.458,519.041
5.871,2081.338,516.166
5.921,2107.075,513.309
5.971,2132.669,510.471
6.021,2158.122,507.651
6.071,2183.434,504.846
6.121,2208.607,502.055
6.171,2233.64,499.275
6.221,2258.535,496.508
6.271,2283.291,493.753
6.321,2307.91,491.01
6.371,2332.392,488.283
6.421,2356.739,485.57
6.471,2380.95,482.874
6.521,2405.026,480.191
6.571,2428.969,477.522
6.621,2452.779,474.868
6.671,2476.456,472.227
6.721,2500.002,469.596
6.771,2523.416,466.976
6.821,2546.699,464.366
6.871,2569.853,461.767
6.921,2592.876,459.177
