Temperature (F)	Pressure (psia)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
0.0000	278.33	22.467	0.044510	5.5643	5.6497	25.479	40.039	88.317	680.85	0.00096651	114.73	0.12081	0.0086877	1.1367	0.87970	15.942	17.630	72.394	35.635	58.844	217.78	0.21620	13.654	0.015687
1.0000	282.88	22.413	0.044616	5.6116	5.6986	25.665	40.037	88.571	677.15	0.0010433	113.96	0.12019	0.0085805	1.1562	0.86488	15.944	17.631	72.289	35.723	59.212	217.63	0.21506	13.698	0.015770
2.0000	287.49	22.360	0.044723	5.6590	5.7476	25.851	40.034	88.830	673.45	0.0011215	113.20	0.11957	0.0084735	1.1760	0.85035	15.946	17.631	72.184	35.811	59.588	217.47	0.21392	13.743	0.015854
3.0000	292.15	22.306	0.044830	5.7065	5.7968	26.037	40.032	89.094	669.74	0.0012011	112.44	0.11896	0.0083668	1.1961	0.83608	15.947	17.632	72.079	35.900	59.970	217.31	0.21280	13.787	0.015940
4.0000	296.87	22.252	0.044939	5.7541	5.8461	26.223	40.030	89.364	666.02	0.0012822	111.68	0.11834	0.0082602	1.2164	0.82208	15.949	17.631	71.974	35.988	60.360	217.15	0.21169	13.832	0.016026
5.0000	301.64	22.198	0.045049	5.8018	5.8955	26.408	40.028	89.639	662.30	0.0013648	110.93	0.11772	0.0081539	1.2371	0.80834	15.950	17.631	71.870	36.078	60.757	216.99	0.21059	13.877	0.016114
6.0000	306.46	22.144	0.045160	5.8496	5.9450	26.594	40.027	89.920	658.58	0.0014490	110.19	0.11711	0.0080479	1.2581	0.79485	15.951	17.631	71.764	36.167	61.162	216.82	0.20950	13.923	0.016203
7.0000	311.35	22.089	0.045272	5.8975	5.9947	26.780	40.026	90.206	654.84	0.0015348	109.45	0.11649	0.0079421	1.2794	0.78162	15.952	17.630	71.659	36.257	61.574	216.64	0.20842	13.968	0.016293
8.0000	316.29	22.034	0.045385	5.9455	6.0445	26.966	40.025	90.499	651.10	0.0016222	108.71	0.11588	0.0078365	1.3010	0.76862	15.953	17.629	71.554	36.347	61.995	216.47	0.20735	14.014	0.016384
9.0000	321.28	21.978	0.045499	5.9936	6.0944	27.152	40.024	90.798	647.35	0.0017113	107.97	0.11526	0.0077311	1.3230	0.75586	15.954	17.628	71.449	36.437	62.424	216.29	0.20629	14.061	0.016476
10.000	326.34	21.923	0.045615	6.0419	6.1445	27.338	40.024	91.104	643.59	0.0018021	107.24	0.11465	0.0076260	1.3453	0.74333	15.954	17.627	71.343	36.528	62.862	216.10	0.20524	14.108	0.016569
11.000	331.45	21.867	0.045732	6.0902	6.1947	27.524	40.024	91.416	639.83	0.0018947	106.52	0.11404	0.0075212	1.3679	0.73103	15.954	17.625	71.238	36.619	63.309	215.92	0.20420	14.155	0.016664
12.000	336.62	21.810	0.045850	6.1387	6.2451	27.711	40.024	91.736	636.06	0.0019892	105.79	0.11342	0.0074166	1.3909	0.71895	15.955	17.623	71.132	36.710	63.765	215.73	0.20317	14.202	0.016760
13.000	341.84	21.754	0.045969	6.1872	6.2956	27.897	40.024	92.062	632.28	0.0020855	105.07	0.11281	0.0073122	1.4143	0.70709	15.954	17.621	71.026	36.802	64.231	215.53	0.20215	14.250	0.016857
14.000	347.13	21.697	0.046090	6.2359	6.3462	28.083	40.025	92.396	628.49	0.0021838	104.36	0.11220	0.0072081	1.4380	0.69543	15.954	17.619	70.920	36.895	64.707	215.33	0.20113	14.298	0.016956
15.000	352.47	21.639	0.046212	6.2848	6.3971	28.270	40.026	92.737	624.69	0.0022840	103.65	0.11159	0.0071043	1.4620	0.68398	15.954	17.616	70.813	36.987	65.194	215.13	0.20013	14.346	0.017056
16.000	357.88	21.582	0.046335	6.3337	6.4480	28.456	40.028	93.086	620.88	0.0023864	102.94	0.11098	0.0070007	1.4865	0.67274	15.953	17.613	70.706	37.081	65.691	214.92	0.19913	14.395	0.017158
17.000	363.34	21.524	0.046460	6.3828	6.4991	28.643	40.030	93.444	617.07	0.0024908	102.23	0.11037	0.0068974	1.5113	0.66169	15.952	17.610	70.600	37.174	66.200	214.71	0.19814	14.444	0.017261
18.000	368.87	21.466	0.046586	6.4320	6.5504	28.829	40.032	93.810	613.24	0.0025974	101.53	0.10977	0.0067943	1.5365	0.65083	15.951	17.607	70.492	37.268	66.720	214.50	0.19716	14.494	0.017366
19.000	374.45	21.407	0.046714	6.4813	6.6019	29.016	40.034	94.185	609.41	0.0027062	100.83	0.10916	0.0066915	1.5621	0.64016	15.950	17.603	70.385	37.363	67.252	214.28	0.19619	14.544	0.017473
20.000	380.10	21.348	0.046843	6.5307	6.6535	29.203	40.037	94.568	605.56	0.0028174	100.13	0.10855	0.0065889	1.5881	0.62967	15.949	17.599	70.277	37.458	67.797	214.06	0.19522	14.594	0.017581
21.000	385.81	21.289	0.046973	6.5803	6.7053	29.391	40.040	94.962	601.71	0.0029309	99.437	0.10795	0.0064867	1.6146	0.61937	15.947	17.595	70.169	37.553	68.355	213.83	0.19427	14.645	0.017691
22.000	391.58	21.229	0.047105	6.6301	6.7572	29.578	40.044	95.365	597.84	0.0030469	98.746	0.10734	0.0063847	1.6414	0.60924	15.945	17.590	70.061	37.649	68.926	213.60	0.19331	14.696	0.017802
23.000	397.42	21.169	0.047239	6.6799	6.8094	29.766	40.048	95.778	593.97	0.0031655	98.057	0.10674	0.0062829	1.6687	0.59928	15.943	17.585	69.952	37.746	69.512	213.37	0.19237	14.748	0.017916
24.000	403.32	21.108	0.047375	6.7299	6.8617	29.953	40.052	96.202	590.08	0.0032866	97.371	0.10613	0.0061815	1.6964	0.58949	15.941	17.580	69.843	37.843	70.112	213.13	0.19143	14.800	0.018031
25.000	409.28	21.047	0.047512	6.7801	6.9142	30.141	40.057	96.637	586.18	0.0034105	96.687	0.10553	0.0060803	1.7246	0.57986	15.939	17.575	69.734	37.941	70.728	212.89	0.19050	14.852	0.018149
26.000	415.30	20.986	0.047651	6.8304	6.9669	30.329	40.062	97.083	582.27	0.0035372	96.006	0.10493	0.0059794	1.7532	0.57039	15.936	17.569	69.624	38.039	71.359	212.65	0.18958	14.905	0.018268
27.000	421.39	20.924	0.047791	6.8809	7.0197	30.518	40.068	97.541	578.34	0.0036667	95.327	0.10433	0.0058789	1.7823	0.56108	15.933	17.563	69.514	38.138	72.008	212.40	0.18866	14.959	0.018390
28.000	427.54	20.862	0.047933	6.9315	7.0728	30.706	40.074	98.012	574.40	0.0037992	94.650	0.10373	0.0057786	1.8118	0.55192	15.930	17.557	69.403	38.237	72.673	212.14	0.18775	15.013	0.018513
29.000	433.76	20.800	0.048078	6.9823	7.1261	30.895	40.081	98.496	570.45	0.0039349	93.976	0.10313	0.0056785	1.8419	0.54292	15.926	17.550	69.292	38.337	73.357	211.88	0.18685	15.067	0.018639
30.000	440.05	20.737	0.048224	7.0332	7.1796	31.084	40.088	98.993	566.49	0.0040737	93.303	0.10253	0.0055788	1.8725	0.53405	15.923	17.543	69.180	38.438	74.060	211.62	0.18595	15.122	0.018768
31.000	446.40	20.673	0.048372	7.0844	7.2332	31.274	40.095	99.504	562.51	0.0042158	92.633	0.10193	0.0054794	1.9035	0.52534	15.919	17.536	69.068	38.540	74.783	211.36	0.18505	15.178	0.018899
32.000	452.82	20.609	0.048522	7.1356	7.2871	31.463	40.103	100.03	558.52	0.0043614	91.964	0.10133	0.0053803	1.9351	0.51676	15.915	17.528	68.955	38.642	75.526	211.08	0.18416	15.234	0.019032
33.000	459.30	20.545	0.048674	7.1871	7.3413	31.653	40.112	100.57	554.51	0.0045105	91.297	0.10073	0.0052815	1.9673	0.50832	15.910	17.520	68.842	38.745	76.291	210.81	0.18328	15.291	0.019168
34.000	465.86	20.480	0.048829	7.2388	7.3956	31.843	40.121	101.13	550.49	0.0046633	90.632	0.10014	0.0051830	2.0000	0.50001	15.905	17.511	68.728	38.849	77.079	210.53	0.18240	15.349	0.019307
35.000	472.48	20.414	0.048985	7.2906	7.4502	32.034	40.130	101.70	546.45	0.0048200	89.968	0.099543	0.0050849	2.0332	0.49184	15.900	17.503	68.613	38.953	77.890	210.25	0.18152	15.407	0.019448
36.000	479.17	20.348	0.049144	7.3426	7.5050	32.225	40.140	102.29	542.39	0.0049806	89.306	0.098948	0.0049870	2.0670	0.48379	15.895	17.493	68.498	39.058	78.727	209.96	0.18065	15.465	0.019593
