Time[ms],BATT[V],5V[V],RADIO[V],PT1[psi],PT2[psi],PT3[psi],PT4[psi],PT5[psi],PT6[psi],LC[lbf],C1,C2,FILL,VENT,MOV,ARM,PY1,PY2
3891,8.13,5.05,3.32,14.19,9.75,0.06,9.60,0.00,0.00,-0.05,0,0,0,0,0,0,0,0
4892,8.16,5.05,3.32,16.73,9.75,2.52,24.75,0.00,0.00,0.04,0,0,0,0,0,0,0,0
5893,8.11,5.07,3.32,14.19,9.75,-2.40,19.70,0.00,0.00,0.07,0,0,0,0,0,0,0,0
6894,8.09,5.06,3.32,14.19,7.21,0.06,7.08,0.00,0.00,0.13,0,0,0,0,0,0,0,0
7895,8.18,5.06,3.31,16.73,9.75,2.52,17.18,0.00,0.00,0.12,0,0,0,0,0,0,0,0
8896,8.16,5.06,3.32,14.19,9.75,2.52,7.08,0.00,0.00,0.11,0,0,0,0,0,0,0,0
9897,8.11,5.06,3.31,16.73,7.21,-2.40,4.55,0.00,0.00,0.16,0,0,0,0,0,0,0,0
10898,8.15,5.06,3.32,14.19,9.75,4.99,7.08,0.00,0.00,0.15,0,0,0,0,0,0,0,0
11899,8.15,5.07,3.32,16.73,7.21,0.06,22.22,0.00,0.00,0.15,0,0,0,0,0,0,0,0
12900,8.15,5.05,3.31,14.19,9.75,2.52,24.75,0.00,0.00,0.16,0,0,0,1,0,0,0,0
13901,8.15,5.05,3.31,14.19,9.75,2.52,7.08,0.00,0.00,0.16,0,0,0,1,0,0,0,0
14902,8.09,5.05,3.31,16.73,7.21,0.06,7.08,0.00,0.00,0.15,0,0,0,1,0,0,0,0
15903,8.08,5.05,3.31,11.65,9.75,0.06,4.55,0.00,0.00,0.16,0,0,0,1,0,0,0,0
16904,8.15,5.05,3.31,14.19,7.21,4.99,19.70,0.00,0.00,0.17,0,0,0,1,0,0,0,0
17905,8.11,5.05,3.31,14.19,7.21,0.06,9.60,0.00,0.00,0.21,0,0,0,1,0,0,0,0
18906,8.15,5.06,3.32,14.19,7.21,2.52,-0.50,0.00,0.00,0.18,0,0,0,1,0,0,0,0
19907,8.15,5.05,3.31,14.19,9.75,4.99,14.65,0.00,0.00,0.18,0,0,0,1,0,0,0,0
20908,8.13,5.06,3.31,16.73,7.21,2.52,-0.50,0.00,0.00,0.17,0,0,0,1,0,0,0,0
21909,8.13,5.07,3.31,14.19,9.75,2.52,2.03,0.00,0.00,0.18,0,0,0,1,0,0,0,0
22910,8.13,5.06,3.32,14.19,9.75,0.06,14.65,0.00,0.00,0.22,0,0,0,1,0,0,0,0
23911,8.08,5.06,3.32,14.19,7.21,-2.40,2.03,0.00,0.00,0.22,0,0,0,1,0,0,0,0
24912,8.09,5.05,3.31,14.19,7.21,0.06,12.13,0.00,0.00,0.18,0,0,0,1,0,0,0,0
25913,8.13,5.05,3.32,14.19,7.21,0.06,14.65,0.00,0.00,0.19,0,0,0,1,0,0,0,0
26914,8.08,5.06,3.31,14.19,9.75,0.06,9.60,0.00,0.00,0.21,0,0,0,1,0,0,0,0
27915,8.15,5.06,3.32,14.19,9.75,4.99,17.18,0.00,0.00,0.23,0,0,0,1,0,0,0,0
28916,8.09,5.04,3.31,14.19,7.21,0.06,2.03,0.00,0.00,0.38,0,0,0,1,0,0,0,0
